instance,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,y
1,None,0,1,None,1,4,0,0,0,4,6,0,123,749964,41,0,0,126,0.692012453,7.39,12.42,5.81,
2,3,6,2,8,3,3,1,0,3,2,3,6,82,846197,35,0,0,173,2.548395523,4.28,11.79,7.58,
3,0,0,0,5,2,0,1,0,2,0,6,5,104,130722,41,0,0,126,2.052979958,5.14,11.58,8.96,
4,0,3,0,1,2,0,1,0,3,2,6,2,91,934762,28,0,0,126,1.025859657,3.9,11.79,5.2,
5,4,3,2,8,3,4,0,0,2,2,4,3,141,465653,28,0,0,126,0.798832919,4.68,10.15,6.59,
6,1,1,1,1,3,0,1,None,3,3,9,1,170,369684,31,0,0,126,3.995193836,6.48,9.43,7.18,
7,3,7,0,7,2,0,1,0,2,4,6,2,123,96362,16,0,0,126,3.026111,4.38,10.28,8.54,
8,0,6,1,2,3,0,1,0,0,4,8,7,160,751328,35,0,0,126,1.619796577,4.24,9.22,6.51,
9,None,9,2,None,3,0,1,0,3,4,9,4,113,1121040,25,0,0,110,3.72645344,4.82,7.82,6.38,
10,0,1,2,8,3,0,1,0,0,2,9,3,75,1190871,31,0,6927,75,0.245682683,5.16,6.44,8.09,
11,0,0,0,4,2,0,1,0,0,3,6,3,116,166096,41,0,0,126,1.315487125,2.84,10.86,8.03,
12,0,0,1,2,5,0,0,0,0,3,0,0,151,539748,41,0,0,176,1.402325802,4.28,9.53,9.58,
13,0,3,0,4,2,0,1,0,0,4,3,4,170,518366,28,0,0,151,3.587903543,6.84,7.08,8.3,
14,0,14,0,7,2,0,1,21,3,4,7,5,176,367183,9,0,0,126,1.447235514,3.98,9.75,6.59,
15,5,1,2,2,3,4,1,0,1,3,4,4,60,888194,31,0,0,38,2.604487876,4.31,10.81,5.75,
16,2,2,0,4,2,0,1,0,1,3,3,1,132,1184437,22,0,0,126,1.089438752,5.68,10.09,6.16,
17,1,14,0,1,2,0,1,0,2,4,5,4,160,913223,9,0,0,126,3.673202749,5.2,11.32,9.9,
18,0,1,3,3,5,0,0,0,2,3,4,2,82,344224,31,0,0,110,2.854682027,5.52,8.93,5.09,
19,0,1,1,8,3,0,0,0,1,4,2,5,170,725720,31,0,0,116,0.640096546,5.63,5.15,9.21,
20,0,3,0,1,2,0,1,0,0,3,5,7,101,463869,28,0,5975,126,2.58959066,3.73,10.74,9.42,
21,2,3,0,1,2,0,1,0,3,3,5,4,138,188769,28,0,0,141,1.362161021,5.59,12.22,3.85,
22,0,3,0,1,0,0,0,0,2,0,5,2,126,391904,28,22927,0,126,3.305909558,6.27,9.37,7.58,
23,None,1,0,None,2,0,1,0,2,4,5,3,195,437910,31,0,0,75,2.66985737,6.72,11.13,8.5,
24,0,1,0,4,2,0,1,0,0,2,9,0,129,437077,31,0,5975,126,2.575802821,5.87,9.47,9,
25,0,0,0,4,2,0,1,12,3,1,2,5,220,880610,41,0,0,63,0.891039965,4.7,9.11,7.69,
26,None,3,2,None,3,0,0,0,0,1,1,3,126,264623,28,0,0,13,4.193797957,4.7,11.38,9.95,
27,4,0,0,4,2,0,1,0,3,2,5,7,110,2099586,41,0,5466,251,1.989848007,3.81,10.03,6.29,
28,0,0,0,3,2,0,1,0,3,1,1,0,179,986941,41,0,5928,173,0.214587076,6.9,6.89,6.22,
29,0,5,2,8,3,0,0,0,0,3,8,1,101,792489,38,0,0,141,1.194067002,3.79,7.81,6.26,
30,4,3,0,1,2,0,1,0,2,0,0,0,154,336876,28,0,6289,126,2.207105269,6.52,8.33,8.07,
31,0,3,0,10,2,0,1,0,1,3,2,5,167,151874,28,0,5975,126,0.840779886,6.16,9.02,8.98,
32,0,10,0,5,2,0,1,0,0,1,0,6,204,428463,44,0,0,157,1.010779945,4.46,9.5,9.94,
33,0,1,0,2,1,1,0,0,1,0,9,1,75,681675,31,0,0,110,2.943509873,6.99,6.42,8.27,
34,3,1,0,8,2,0,1,0,3,0,1,3,148,555801,31,0,0,151,2.930750846,6.5,11.34,8.18,
35,0,3,0,12,2,0,1,38,3,3,2,4,91,1379985,28,0,0,110,2.530317618,5.95,9.66,8.23,
36,3,12,0,1,2,0,1,0,0,4,4,5,182,407735,19,0,0,126,2.989270595,5.36,8.66,9.71,
37,0,0,1,4,5,0,0,0,1,4,9,0,129,534793,41,0,0,141,0.532325975,5.18,9.57,5.83,
38,0,1,2,8,3,1,1,None,2,0,4,5,69,408200,31,0,0,126,4.481294393,5.53,12.26,11,
39,0,1,0,10,2,0,1,0,2,2,4,4,157,624175,31,0,0,220,3.065818321,5.13,11.52,8.42,
40,2,1,0,3,2,0,1,0,2,4,0,5,170,308036,31,0,0,170,1.554729027,5.14,9.72,7.15,
41,4,3,1,2,3,0,0,0,0,3,4,7,210,813588,28,0,0,75,1.343348422,6.19,7.87,7.86,
42,0,3,4,7,5,4,0,0,0,4,8,0,167,499491,28,0,0,119,3.009718474,3.8,10.97,8.74,
43,3,3,0,4,2,0,1,0,3,3,8,6,170,873602,28,16267,0,126,1.840407616,4.89,11.1,9.83,
44,0,0,1,1,3,0,0,0,2,3,7,7,148,393076,41,0,0,157,1.691139586,6.4,12.07,10.44,
45,0,0,0,4,2,0,1,0,1,2,7,5,123,630197,41,0,0,173,2.913321733,5.12,11.42,9.13,
46,2,6,1,3,3,0,1,0,2,1,0,6,97,420537,35,0,0,126,1.364528743,6.05,13.32,6.5,
47,0,3,0,1,2,0,1,0,1,0,8,7,148,551664,28,0,0,126,0.888195842,5.55,10.18,7.38,
48,4,3,0,10,2,0,1,0,1,0,0,4,154,210490,28,0,0,126,2.284542708,4.09,13.06,6.49,
49,0,3,0,7,2,0,1,0,0,0,4,2,163,197399,28,0,0,63,-0.272162308,5.34,4.69,8.04,
50,0,9,1,3,3,0,0,0,0,4,6,1,101,487867,25,0,5535,141,0.590879591,4.89,6.64,9.52,
51,0,0,0,4,2,0,1,0,2,1,3,0,113,552163,41,22927,0,157,2.255345815,4.24,10.27,9.56,
52,None,3,4,None,3,0,0,0,2,2,0,3,229,436835,28,0,0,69,0.759742191,5.19,11.58,9.05,
53,0,3,3,8,3,0,0,0,2,0,8,3,173,1025092,28,0,0,79,1.976864667,4.58,9.41,8.6,
54,0,2,0,1,2,1,1,15,1,4,7,0,79,228981,22,0,0,126,2.209163957,4.77,10.98,6.93,
55,0,0,2,0,3,0,1,0,3,3,2,3,82,522450,41,0,0,126,3.208814978,2.26,11.2,6.18,
56,0,3,2,1,1,0,1,0,0,3,3,5,57,204511,28,0,0,94,2.493333463,5.31,10.77,9.9,
57,0,3,0,1,2,0,1,0,3,2,7,1,157,205485,28,0,0,157,3.076622546,5.17,9.96,10.34,
58,0,0,2,5,3,0,0,0,2,0,7,4,88,101445,41,6830,0,126,0.362873904,4.45,9.88,9.89,
59,1,1,0,3,2,0,1,0,1,1,4,5,110,424178,31,0,0,236,3.761841659,5.44,8.96,7.68,
